dx,dt,time,Eval,cell midpoint,height(m),G,u(m/s),diffuse
0.3125,0.003125,220.0,1346.58549625,-700.0,1.00000000109,-1.57273701261e-09,-3.73618728587e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-699.6875,1.00000000143,-1.06261889346e-09,-5.37739908013e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-699.375,1.00000000133,-5.33910373731e-10,-5.49602521112e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-699.0625,1.00000000129,-5.0773461494e-10,-5.55375384925e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-698.75,1.0000000013,-5.58768376848e-10,-5.72982617094e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-698.4375,1.00000000132,-6.03168448392e-10,-5.94873671705e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-698.125,1.00000000133,-6.17688076707e-10,-6.14931931354e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-697.8125,1.00000000134,-6.31793231097e-10,-6.3420856053e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-697.5,1.00000000135,-6.52651683971e-10,-6.54064728646e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-697.1875,1.00000000136,-6.74057408301e-10,-6.74324676907e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-696.875,1.00000000137,-6.94238665946e-10,-6.94690270001e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-696.5625,1.00000000139,-7.14470771081e-10,-7.15191491186e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-696.25,1.0000000014,-7.35187808017e-10,-7.35898186987e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-695.9375,1.00000000141,-7.56139216055e-10,-7.56812114209e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-695.625,1.00000000143,-7.77229526356e-10,-7.77924377052e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-695.3125,1.00000000144,-7.98515635111e-10,-7.9924044586e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-695.0,1.00000000145,-8.20025949612e-10,-8.20768624199e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-694.6875,1.00000000147,-8.4175416017e-10,-8.42514363204e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-694.375,1.00000000148,-8.63702463198e-10,-8.64482872496e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-694.0625,1.0000000015,-8.85879786077e-10,-8.86680012017e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-693.75,1.00000000151,-9.08292532011e-10,-9.09111573545e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-693.4375,1.00000000153,-9.30944000667e-10,-9.3178311398e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-693.125,1.00000000154,-9.53841151385e-10,-9.54700489412e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-692.8125,1.00000000156,-9.76993052121e-10,-9.77869563192e-10,0.025
0.3125,0.003125,220.0,1346.58549625,-692.5,1.00000000158,-1.00039999655e-09,-1.00129546343e-09,0.025
0.3125,0.003125,220.0,1346.58549625,-692.1875,1.00000000159,-1.02406757005e-09,-1.02498374621e-09,0.025
0.3125,0.003125,220.0,1346.58549625,-691.875,1.00000000161,-1.04800437874e-09,-1.04894042677e-09,0.025
0.3125,0.003125,220.0,1346.58549625,-691.5625,1.00000000163,-1.07221467538e-09,-1.0731713562e-09,0.025
0.3125,0.003125,220.0,1346.58549625,-691.25,1.00000000165,-1.0967049015e-09,-1.09768257237e-09,0.025
0.3125,0.003125,220.0,1346.58549625,-690.9375,1.00000000166,-1.12148141642e-09,-1.12248021685e-09,0.025
0.3125,0.003125,220.0,1346.58549625,-690.625,1.00000000168,-1.14655240587e-09,-1.14757044039e-09,0.025
