dx,dt,time,Eval,cell midpoint,height(m),G,u(m/s),diffuse
0.3125,0.003125,227.5,1346.54175565,-700.0,1.00000000156,-2.32247229924e-09,-5.76314990205e-10,0.025
0.3125,0.003125,227.5,1346.54175565,-699.6875,1.00000000206,-1.57961968191e-09,-8.15278794618e-10,0.025
0.3125,0.003125,227.5,1346.54175565,-699.375,1.0000000019,-8.09644566825e-10,-8.32520925433e-10,0.025
0.3125,0.003125,227.5,1346.54175565,-699.0625,1.00000000184,-7.71511884365e-10,-8.40901678808e-10,0.025
0.3125,0.003125,227.5,1346.54175565,-698.75,1.00000000186,-8.45813538593e-10,-8.66520118324e-10,0.025
0.3125,0.003125,227.5,1346.54175565,-698.4375,1.00000000189,-9.10452584645e-10,-8.98379041069e-10,0.025
0.3125,0.003125,227.5,1346.54175565,-698.125,1.00000000191,-9.31588281796e-10,-9.27570468287e-10,0.025
0.3125,0.003125,227.5,1346.54175565,-697.8125,1.00000000192,-9.52114553573e-10,-9.55622520353e-10,0.025
0.3125,0.003125,227.5,1346.54175565,-697.5,1.00000000193,-9.82466077121e-10,-9.84515935144e-10,0.025
0.3125,0.003125,227.5,1346.54175565,-697.1875,1.00000000195,-1.0136102141e-09,-1.01399510116e-09,0.025
0.3125,0.003125,227.5,1346.54175565,-696.875,1.00000000197,-1.04296836624e-09,-1.04362688292e-09,0.025
0.3125,0.003125,227.5,1346.54175565,-696.5625,1.00000000199,-1.07240158044e-09,-1.07345640818e-09,0.025
0.3125,0.003125,227.5,1346.54175565,-696.25,1.00000000201,-1.10254612263e-09,-1.10358662192e-09,0.025
0.3125,0.003125,227.5,1346.54175565,-695.9375,1.00000000202,-1.13303499166e-09,-1.13402034466e-09,0.025
0.3125,0.003125,227.5,1346.54175565,-695.625,1.00000000204,-1.16372752195e-09,-1.16474449181e-09,0.025
0.3125,0.003125,227.5,1346.54175565,-695.3125,1.00000000206,-1.19470632355e-09,-1.19576693197e-09,0.025
0.3125,0.003125,227.5,1346.54175565,-695.0,1.00000000208,-1.22601261105e-09,-1.22709975699e-09,0.025
0.3125,0.003125,227.5,1346.54175565,-694.6875,1.0000000021,-1.25764186658e-09,-1.25875096698e-09,0.025
0.3125,0.003125,227.5,1346.54175565,-694.375,1.00000000212,-1.28959280918e-09,-1.29072717519e-09,0.025
0.3125,0.003125,227.5,1346.54175565,-694.0625,1.00000000215,-1.32187318407e-09,-1.32303578324e-09,0.025
0.3125,0.003125,227.5,1346.54175565,-693.75,1.00000000217,-1.3544953323e-09,-1.35568497569e-09,0.025
0.3125,0.003125,227.5,1346.54175565,-693.4375,1.00000000219,-1.38746700522e-09,-1.38868267723e-09,0.025
