dx,dt,time,Eval,cell midpoint,height(m),G,u(m/s),diffuse
0.3125,0.003125,79.0,996.731329831,-700.0,1.00000000007,7.11989627058e-11,7.08739393455e-11,0.025
0.3125,0.003125,79.0,996.731329831,-699.6875,1.00000000007,7.1044690907e-11,7.09171338032e-11,0.025
0.3125,0.003125,79.0,996.731329831,-699.375,1.00000000007,7.09076619772e-11,7.09229824489e-11,0.025
0.3125,0.003125,79.0,996.731329831,-699.0625,1.00000000007,7.09191128177e-11,7.09302200891e-11,0.025
0.3125,0.003125,79.0,996.731329831,-698.75,1.00000000007,7.0938744375e-11,7.09403884154e-11,0.025
0.3125,0.003125,79.0,996.731329831,-698.4375,1.00000000007,7.0952930859e-11,7.09511483328e-11,0.025
0.3125,0.003125,79.0,996.731329831,-698.125,1.00000000007,7.09626352724e-11,7.09614799935e-11,0.025
0.3125,0.003125,79.0,996.731329831,-697.8125,1.00000000007,7.09713361829e-11,7.09714911463e-11,0.025
0.3125,0.003125,79.0,996.731329831,-697.5,1.00000000007,7.09818282764e-11,7.09815049527e-11,0.025
0.3125,0.003125,79.0,996.731329831,-697.1875,1.00000000007,7.09963539644e-11,7.0991331608e-11,0.025
0.3125,0.003125,79.0,996.731329831,-696.875,1.00000000007,7.10099761235e-11,7.09996721615e-11,0.025
0.3125,0.003125,79.0,996.731329831,-696.5625,1.00000000007,7.10179901762e-11,7.1005051145e-11,0.025
0.3125,0.003125,79.0,996.731329831,-696.25,1.00000000007,7.10200401415e-11,7.10066790994e-11,0.025
0.3125,0.003125,79.0,996.731329831,-695.9375,1.00000000007,7.10243618082e-11,7.10042429785e-11,0.025
0.3125,0.003125,79.0,996.731329831,-695.625,1.00000000007,7.10362822962e-11,7.099563323e-11,0.025
0.3125,0.003125,79.0,996.731329831,-695.3125,1.00000000007,7.1026031638e-11,7.09753870135e-11,0.025
0.3125,0.003125,79.0,996.731329831,-695.0,1.00000000007,7.09541724838e-11,7.09413107278e-11,0.025
0.3125,0.003125,79.0,996.731329831,-694.6875,1.00000000007,7.08870809897e-11,7.09032974321e-11,0.025
0.3125,0.003125,79.0,996.731329831,-694.375,1.00000000007,7.0862438819e-11,7.086921316e-11,0.025
0.3125,0.003125,79.0,996.731329831,-694.0625,1.00000000007,7.08401856092e-11,7.08370612795e-11,0.025
0.3125,0.003125,79.0,996.731329831,-693.75,1.00000000007,7.0806555813e-11,7.08042177971e-11,0.025
0.3125,0.003125,79.0,996.731329831,-693.4375,1.00000000007,7.07702984582e-11,7.07707434517e-11,0.025
0.3125,0.003125,79.0,996.731329831,-693.125,1.00000000007,7.07366736657e-11,7.07373481945e-11,0.025
0.3125,0.003125,79.0,996.731329831,-692.8125,1.00000000007,7.07042319469e-11,7.07041265869e-11,0.025
0.3125,0.003125,79.0,996.731329831,-692.5,1.00000000007,7.06711711555e-11,7.06708855785e-11,0.025
0.3125,0.003125,79.0,996.731329831,-692.1875,1.00000000007,7.06376395062e-11,7.0637569698e-11,0.025
0.3125,0.003125,79.0,996.731329831,-691.875,1.00000000007,7.06043164554e-11,7.06042289721e-11,0.025
0.3125,0.003125,79.0,996.731329831,-691.5625,1.00000000007,7.05710691003e-11,7.05708606848e-11,0.025
0.3125,0.003125,79.0,996.731329831,-691.25,1.00000000007,7.05374157736e-11,7.05374389253e-11,0.025
0.3125,0.003125,79.0,996.731329831,-690.9375,1.00000000007,7.05035378966e-11,7.05040288071e-11,0.025
0.3125,0.003125,79.0,996.731329831,-690.625,1.00000000007,7.04701204615e-11,7.04707537318e-11,0.025
0.3125,0.003125,79.0,996.731329831,-690.3125,1.00000000007,7.04381745962e-11,7.04376317394e-11,0.025
0.3125,0.003125,79.0,996.731329831,-690.0,1.00000000007,7.04084024243e-11,7.04042915063e-11,0.025
