dx,dt,time,Eval,cell midpoint,height(m),G,u(m/s),diffuse
0.3125,0.003125,271.0,1346.16978709,-700.0,1.0000000132,-2.10409690716e-08,-5.63702821777e-09,0.025
0.3125,0.003125,271.0,1346.16978709,-699.6875,1.00000001759,-1.44874931584e-08,-7.74462027426e-09,0.025
0.3125,0.003125,271.0,1346.16978709,-699.375,1.00000001619,-7.69419025978e-09,-7.89623234384e-09,0.025
0.3125,0.003125,271.0,1346.16978709,-699.0625,1.00000001569,-7.35775710273e-09,-7.96972648943e-09,0.025
0.3125,0.003125,271.0,1346.16978709,-698.75,1.00000001587,-8.01275794666e-09,-8.19524507289e-09,0.025
0.3125,0.003125,271.0,1346.16978709,-698.4375,1.00000001612,-8.5821916239e-09,-8.47576849642e-09,0.025
0.3125,0.003125,271.0,1346.16978709,-698.125,1.00000001625,-8.76821780282e-09,-8.73277851609e-09,0.025
0.3125,0.003125,271.0,1346.16978709,-697.8125,1.00000001637,-8.94882019066e-09,-8.97973935265e-09,0.025
0.3125,0.003125,271.0,1346.16978709,-697.5,1.00000001651,-9.21603369536e-09,-9.23411576788e-09,0.025
0.3125,0.003125,271.0,1346.16978709,-697.1875,1.00000001666,-9.4902618182e-09,-9.49365877856e-09,0.025
0.3125,0.003125,271.0,1346.16978709,-696.875,1.00000001682,-9.74875315129e-09,-9.75454822915e-09,0.025
0.3125,0.003125,271.0,1346.16978709,-696.5625,1.00000001697,-1.00078902148e-08,-1.001717825e-08,0.025
0.3125,0.003125,271.0,1346.16978709,-696.25,1.00000001713,-1.02732929121e-08,-1.02824559198e-08,0.025
0.3125,0.003125,271.0,1346.16978709,-695.9375,1.00000001729,-1.05417365024e-08,-1.05504062615e-08,0.025
0.3125,0.003125,271.0,1346.16978709,-695.625,1.00000001746,-1.08119688639e-08,-1.08209120462e-08,0.025
0.3125,0.003125,271.0,1346.16978709,-695.3125,1.00000001763,-1.10847163167e-08,-1.10940411007e-08,0.025
