dx,dt,time,Eval,cell midpoint,height(m),G,u(m/s),diffuse
0.3125,0.003125,13.5,4451.2273607,-700.0,1.00001899344,1.89907191804e-05,1.8984999907e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-699.6875,1.0000189996,1.89787298194e-05,1.89834201769e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-699.375,1.00001900024,1.89822376667e-05,1.89830423782e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-699.0625,1.00001900011,1.89847748525e-05,1.89830161421e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-698.75,1.00001899985,1.89855223446e-05,1.89826129978e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-698.4375,1.00001899871,1.89843080025e-05,1.89814962495e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-698.125,1.00001899619,1.89796190442e-05,1.89797256446e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-697.8125,1.00001899364,1.89733301449e-05,1.8978131413e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-697.5,1.00001899226,1.89700937118e-05,1.89780180573e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-697.1875,1.0000189944,1.89693765604e-05,1.8980314913e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-696.875,1.0000190029,1.89793057465e-05,1.8985749328e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-696.5625,1.00001901508,1.8999967815e-05,1.89929790286e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-696.25,1.00001902427,1.90175687541e-05,1.89982849355e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-695.9375,1.0000190282,1.90246103319e-05,1.89981613933e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-695.625,1.00001902167,1.90224026543e-05,1.89904695875e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-695.3125,1.00001899854,1.89920648694e-05,1.89739599554e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-695.0,1.00001896801,1.89433776876e-05,1.89525574279e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-694.6875,1.00001894036,1.89025189502e-05,1.8933851441e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-694.375,1.00001892544,1.88782968171e-05,1.89242554858e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-694.0625,1.00001892532,1.88724450275e-05,1.89280957354e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-693.75,1.00001894776,1.88911069772e-05,1.89481095015e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-693.4375,1.00001899598,1.89586311042e-05,1.89842210896e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-693.125,1.00001905277,1.90342968104e-05,1.90278784749e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-692.8125,1.00001910738,1.9104325552e-05,1.90698518691e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-692.5,1.00001915002,1.91578227055e-05,1.91019923944e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-692.1875,1.00001917153,1.91875598686e-05,1.91180654773e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-691.875,1.00001917304,1.9192423166e-05,1.91140084719e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-691.5625,1.00001914648,1.91713264049e-05,1.90872113622e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-691.25,1.00001908633,1.90945756867e-05,1.90365553797e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-690.9375,1.00001900904,1.9002125954e-05,1.89690305842e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-690.625,1.00001892115,1.89013990587e-05,1.88918901082e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-690.3125,1.00001883031,1.87974578467e-05,1.88120758132e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-690.0,1.00001874442,1.86991925327e-05,1.8736615388e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-689.6875,1.00001867091,1.86148508209e-05,1.86721495327e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-689.375,1.00001861556,1.85519790616e-05,1.86244620222e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-689.0625,1.00001858623,1.85139894136e-05,1.85980218332e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-688.75,1.00001857796,1.85037341635e-05,1.85962383642e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-688.4375,1.00001859827,1.85132133984e-05,1.86217764926e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-688.125,1.00001865872,1.85766043617e-05,1.86787537981e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-687.8125,1.00001874774,1.86716735835e-05,1.87656947048e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-687.5,1.00001886474,1.87903332376e-05,1.88803628335e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-687.1875,1.00001900885,1.8936693288e-05,1.90214876511e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-686.875,1.00001917833,1.91090180006e-05,1.91875350088e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-686.5625,1.00001937111,1.93047905566e-05,1.93766828287e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-686.25,1.0000195851,1.9521716271e-05,1.95870016456e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-685.9375,1.00001981824,1.97576269668e-05,1.9816564337e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-685.625,1.00002006859,2.00104986302e-05,2.00635180779e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-685.3125,1.00002033436,2.0278494966e-05,2.03261347349e-05,0.025
0.3125,0.003125,13.5,4451.2273607,-685.0,1.00002061396,2.05599888358e-05,2.06028427984e-05,0.025
