dx,dt,time,Eval,cell midpoint,height(m),G,u(m/s),diffuse
0.3125,0.003125,144.5,996.731028621,-700.0,1.00000000009,3.46588060645e-11,6.09794908524e-11,0.025
0.3125,0.003125,144.5,996.731028621,-699.6875,1.0000000001,4.58180333308e-11,5.7354334524e-11,0.025
0.3125,0.003125,144.5,996.731028621,-699.375,1.0000000001,5.73985911939e-11,5.70753310828e-11,0.025
0.3125,0.003125,144.5,996.731028621,-699.0625,1.0000000001,5.80205135687e-11,5.69348489044e-11,0.025
0.3125,0.003125,144.5,996.731028621,-698.75,1.0000000001,5.68867645946e-11,5.65239728259e-11,0.025
0.3125,0.003125,144.5,996.731028621,-698.4375,1.0000000001,5.58079211604e-11,5.60058506985e-11,0.025
0.3125,0.003125,144.5,996.731028621,-698.125,1.0000000001,5.54134455433e-11,5.5532117579e-11,0.025
0.3125,0.003125,144.5,996.731028621,-697.8125,1.0000000001,5.51060336852e-11,5.50912305675e-11,0.025
0.3125,0.003125,144.5,996.731028621,-697.5,1.0000000001,5.46705339858e-11,5.46485936649e-11,0.025
0.3125,0.003125,144.5,996.731028621,-697.1875,1.0000000001,5.41822560417e-11,5.42006543692e-11,0.025
0.3125,0.003125,144.5,996.731028621,-696.875,1.0000000001,5.37340549052e-11,5.3757365384e-11,0.025
0.3125,0.003125,144.5,996.731028621,-696.5625,1.0000000001,5.33419133007e-11,5.33198014994e-11,0.025
0.3125,0.003125,144.5,996.731028621,-696.25,1.0000000001,5.29419675531e-11,5.28757877914e-11,0.025
0.3125,0.003125,144.5,996.731028621,-695.9375,1.0000000001,5.24727870179e-11,5.24134882401e-11,0.025
0.3125,0.003125,144.5,996.731028621,-695.625,1.0000000001,5.1966812697e-11,5.19342999103e-11,0.025
0.3125,0.003125,144.5,996.731028621,-695.3125,1.0000000001,5.14596768361e-11,5.14454267712e-11,0.025
0.3125,0.003125,144.5,996.731028621,-695.0,1.0000000001,5.09568232134e-11,5.09521578288e-11,0.025
0.3125,0.003125,144.5,996.731028621,-694.6875,1.0000000001,5.04696231572e-11,5.0457130316e-11,0.025
0.3125,0.003125,144.5,996.731028621,-694.375,1.0000000001,4.99856466335e-11,4.99582803466e-11,0.025
0.3125,0.003125,144.5,996.731028621,-694.0625,1.0000000001,4.94856798837e-11,4.94515946798e-11,0.025
0.3125,0.003125,144.5,996.731028621,-693.75,1.0000000001,4.89602639078e-11,4.89352412926e-11,0.025
0.3125,0.003125,144.5,996.731028621,-693.4375,1.0000000001,4.84440884801e-11,4.84112062928e-11,0.025
0.3125,0.003125,144.5,996.731028621,-693.125,1.0000000001,4.79321747359e-11,4.78772665514e-11,0.025
