dx,dt,time,Eval,cell midpoint,height(m),G,u(m/s),diffuse
0.3125,0.003125,236.5,1346.48089757,-700.0,1.00000000241,-3.68530753501e-09,-9.4477573613e-10,0.025
0.3125,0.003125,236.5,1346.48089757,-699.6875,1.00000000319,-2.51940695371e-09,-1.31979666099e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-699.375,1.00000000294,-1.31091891194e-09,-1.34683221168e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-699.0625,1.00000000285,-1.25107447218e-09,-1.3599621735e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-698.75,1.00000000288,-1.36766214365e-09,-1.40014155827e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-698.4375,1.00000000293,-1.46905723379e-09,-1.45011011793e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-698.125,1.00000000295,-1.50219829125e-09,-1.49589224793e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-697.8125,1.00000000297,-1.53438024952e-09,-1.53988612668e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-697.5,1.000000003,-1.58198174644e-09,-1.58520058521e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-697.1875,1.00000000302,-1.63083013863e-09,-1.63143479677e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-696.875,1.00000000305,-1.67687480018e-09,-1.67790872441e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-696.5625,1.00000000308,-1.72303594802e-09,-1.72469315554e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-696.25,1.00000000311,-1.77031360732e-09,-1.77195001165e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-695.9375,1.00000000314,-1.81813398682e-09,-1.81968417538e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-695.625,1.00000000317,-1.86627589985e-09,-1.86787521752e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-695.3125,1.0000000032,-1.91486860265e-09,-1.9165353481e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-695.0,1.00000000323,-1.96397763352e-09,-1.96568321649e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-694.6875,1.00000000326,-2.01359032983e-09,-2.01533065253e-09,0.025
0.3125,0.003125,236.5,1346.48089757,-694.375,1.00000000329,-2.06370631366e-09,-2.06548808548e-09,0.025
