dx,dt,time,Eval,cell midpoint,height(m),G,u(m/s),diffuse
0.3125,0.003125,218.0,1346.59607333,-700.0,1.000000001,-1.41592254027e-09,-3.31222346171e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-699.6875,1.0000000013,-9.54484180052e-10,-4.79688797298e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-699.375,1.00000000121,-4.76229895775e-10,-4.90425125635e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-699.0625,1.00000000117,-4.5254638563e-10,-4.95653096273e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-698.75,1.00000000118,-4.98737354319e-10,-5.11589075049e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-698.4375,1.0000000012,-5.38915481101e-10,-5.31398494347e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-698.125,1.00000000121,-5.52049540041e-10,-5.49546240157e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-697.8125,1.00000000122,-5.64803991626e-10,-5.6698402085e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-697.5,1.00000000123,-5.83666094601e-10,-5.84944624678e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-697.1875,1.00000000124,-6.0302434044e-10,-6.03270549886e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-696.875,1.00000000125,-6.21277244212e-10,-6.21693316455e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-696.5625,1.00000000126,-6.39579281458e-10,-6.40240958004e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-696.25,1.00000000127,-6.58325590569e-10,-6.58977251222e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-695.9375,1.00000000128,-6.7728986777e-10,-6.77903583382e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-695.625,1.0000000013,-6.96380509022e-10,-6.97010811655e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-695.3125,1.00000000131,-7.15647113421e-10,-7.1630294957e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-695.0,1.00000000132,-7.35116564596e-10,-7.35787015496e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-694.6875,1.00000000133,-7.54782679366e-10,-7.55467486711e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-694.375,1.00000000135,-7.74646538002e-10,-7.75348646604e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-694.0625,1.00000000136,-7.94715867919e-10,-7.95435513366e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-693.75,1.00000000137,-8.1499519309e-10,-8.15733233401e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-693.4375,1.00000000139,-8.35490378638e-10,-8.36247185094e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-693.125,1.0000000014,-8.56207685968e-10,-8.56982849828e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-692.8125,1.00000000142,-8.7715205362e-10,-8.77945613743e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-692.5,1.00000000143,-8.98328994152e-10,-8.99140863486e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-692.1875,1.00000000145,-9.19744429827e-10,-9.20573951487e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-691.875,1.00000000146,-9.41403203382e-10,-9.42250056638e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-691.5625,1.00000000148,-9.63309733104e-10,-9.64174271898e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-691.25,1.00000000149,-9.8546879741e-10,-9.86351788225e-10,0.025
0.3125,0.003125,218.0,1346.59607333,-690.9375,1.00000000151,-1.00788584643e-09,-1.00878801022e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-690.625,1.00000000153,-1.03056711669e-09,-1.0314885407e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-690.3125,1.00000000155,-1.05351883921e-09,-1.05445900953e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-690.0,1.00000000156,-1.07674589068e-09,-1.07770491977e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-689.6875,1.00000000158,-1.10025478821e-09,-1.10123177956e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-689.375,1.0000000016,-1.12404853101e-09,-1.125044899e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-689.0625,1.00000000162,-1.14813240231e-09,-1.14914996282e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-688.75,1.00000000164,-1.17251522208e-09,-1.17355312585e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-688.4375,1.00000000166,-1.19720193787e-09,-1.19826036562e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-688.125,1.00000000168,-1.2221986934e-09,-1.22327769336e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-687.8125,1.0000000017,-1.24751170991e-09,-1.24861113403e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-687.5,1.00000000172,-1.27314549802e-09,-1.27426670133e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-687.1875,1.00000000174,-1.29910728221e-09,-1.30025075813e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-686.875,1.00000000176,-1.32540478314e-09,-1.3265698034e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-686.5625,1.00000000178,-1.35204390334e-09,-1.35323015715e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-686.25,1.00000000181,-1.37903003364e-09,-1.38023805866e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-685.9375,1.00000000183,-1.40636954111e-09,-1.40759988839e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-685.625,1.00000000185,-1.43406859813e-09,-1.43532219372e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-685.3125,1.00000000188,-1.46213428013e-09,-1.46341178048e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-685.0,1.0000000019,-1.49057369891e-09,-1.4918756504e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-684.6875,1.00000000193,-1.51939326577e-09,-1.52072098144e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-684.375,1.00000000195,-1.54860145142e-09,-1.54995530166e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-684.0625,1.00000000198,-1.57820662784e-09,-1.57958624891e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-683.75,1.000000002,-1.60821762572e-09,-1.60962134495e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-683.4375,1.00000000203,-1.63864133958e-09,-1.64006765565e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-683.125,1.00000000206,-1.66948159953e-09,-1.67093186121e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-682.8125,1.00000000208,-1.70074556768e-09,-1.7022209761e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-682.5,1.00000000211,-1.73244209839e-09,-1.73394233851e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-682.1875,1.00000000214,-1.76457665634e-09,-1.76610326168e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-681.875,1.00000000217,-1.79715598757e-09,-1.79871149356e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-681.5625,1.0000000022,-1.83018837745e-09,-1.83177550145e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-681.25,1.00000000223,-1.86368640313e-09,-1.86530447526e-09,0.025
0.3125,0.003125,218.0,1346.59607333,-680.9375,1.00000000226,-1.89766041912e-09,-1.89930744922e-09,0.025
