dx,dt,time,Eval,cell midpoint,height(m),G,u(m/s),diffuse
0.3125,0.003125,181.5,996.712578877,-700.0,1.00000000022,-1.66592988054e-10,6.55959896983e-12,0.025
0.3125,0.003125,181.5,996.712578877,-699.6875,1.00000000027,-9.29602243434e-11,-1.71693296992e-11,0.025
0.3125,0.003125,181.5,996.712578877,-699.375,1.00000000025,-1.66606821266e-11,-1.89124461304e-11,0.025
0.3125,0.003125,181.5,996.712578877,-699.0625,1.00000000025,-1.28743656423e-11,-1.97729847963e-11,0.025
0.3125,0.003125,181.5,996.712578877,-698.75,1.00000000025,-2.03011980088e-11,-2.23468891501e-11,0.025
0.3125,0.003125,181.5,996.712578877,-698.4375,1.00000000025,-2.67586913373e-11,-2.55375329368e-11,0.025
0.3125,0.003125,181.5,996.712578877,-698.125,1.00000000025,-2.88664681991e-11,-2.84572801633e-11,0.025
0.3125,0.003125,181.5,996.712578877,-697.8125,1.00000000025,-3.09130137091e-11,-3.12608710914e-11,0.025
0.3125,0.003125,181.5,996.712578877,-697.5,1.00000000026,-3.3941745334e-11,-3.41477220625e-11,0.025
0.3125,0.003125,181.5,996.712578877,-697.1875,1.00000000026,-3.70499861128e-11,-3.70934337992e-11,0.025
0.3125,0.003125,181.5,996.712578877,-696.875,1.00000000026,-3.99836105979e-11,-4.00557992452e-11,0.025
0.3125,0.003125,181.5,996.712578877,-696.5625,1.00000000026,-4.2930510089e-11,-4.30397100489e-11,0.025
0.3125,0.003125,181.5,996.712578877,-696.25,1.00000000026,-4.59477417231e-11,-4.60548139036e-11,0.025
0.3125,0.003125,181.5,996.712578877,-695.9375,1.00000000026,-4.89996702014e-11,-4.91011689653e-11,0.025
0.3125,0.003125,181.5,996.712578877,-695.625,1.00000000027,-5.20736454113e-11,-5.21774221964e-11,0.025
0.3125,0.003125,181.5,996.712578877,-695.3125,1.00000000027,-5.51741776803e-11,-5.52841669556e-11,0.025
0.3125,0.003125,181.5,996.712578877,-695.0,1.00000000027,-5.83106668657e-11,-5.84230546308e-11,0.025
0.3125,0.003125,181.5,996.712578877,-694.6875,1.00000000027,-6.14844893203e-11,-6.15947705046e-11,0.025
0.3125,0.003125,181.5,996.712578877,-694.375,1.00000000027,-6.46888779726e-11,-6.47988249524e-11,0.025
0.3125,0.003125,181.5,996.712578877,-694.0625,1.00000000028,-6.79259458237e-11,-6.80350838882e-11,0.025
0.3125,0.003125,181.5,996.712578877,-693.75,1.00000000028,-7.11944617058e-11,-7.13033346702e-11,0.025
0.3125,0.003125,181.5,996.712578877,-693.4375,1.00000000028,-7.44905770152e-11,-7.46035782371e-11,0.025
0.3125,0.003125,181.5,996.712578877,-693.125,1.00000000028,-7.78183248761e-11,-7.79369723611e-11,0.025
0.3125,0.003125,181.5,996.712578877,-692.8125,1.00000000029,-8.11769759182e-11,-8.13052115064e-11,0.025
0.3125,0.003125,181.5,996.712578877,-692.5,1.00000000029,-8.45736668557e-11,-8.47110102514e-11,0.025
