dx,dt,time,Eval,cell midpoint,height(m),G,u(m/s),diffuse
0.3125,0.003125,255.5,1346.32391459,-700.0,1.00000000612,-9.65085587384e-09,-2.55761931809e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-699.6875,1.00000000814,-6.63312516425e-09,-3.52817403622e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-699.375,1.00000000749,-3.50502141508e-09,-3.59804028778e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-699.0625,1.00000000726,-3.3501026369e-09,-3.63193101115e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-698.75,1.00000000735,-3.6517825043e-09,-3.7358332454e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-698.4375,1.00000000746,-3.91408748299e-09,-3.86506921057e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-698.125,1.00000000752,-3.99979415161e-09,-3.98347492173e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-697.8125,1.00000000758,-4.08300702991e-09,-4.09725310512e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-697.5,1.00000000764,-4.20611095326e-09,-4.21444833964e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-697.1875,1.00000000771,-4.33244917866e-09,-4.33402585199e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-696.875,1.00000000778,-4.45154631134e-09,-4.45422696651e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-696.5625,1.00000000785,-4.5709442597e-09,-4.57523312429e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-696.25,1.00000000793,-4.69322908484e-09,-4.6974619859e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-695.9375,1.000000008,-4.81691893693e-09,-4.82092549258e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-695.625,1.00000000808,-4.94143676994e-09,-4.9455699034e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-695.3125,1.00000000816,-5.06711725309e-09,-5.07142664509e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-695.0,1.00000000824,-5.19413364136e-09,-5.19854442763e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-694.6875,1.00000000832,-5.32245447461e-09,-5.3269541004e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-694.375,1.00000000841,-5.45207702735e-09,-5.45668237508e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-694.0625,1.0000000085,-5.58304310253e-09,-5.58776003422e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-693.75,1.00000000859,-5.71539094839e-09,-5.72021963788e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-693.4375,1.00000000868,-5.84915152182e-09,-5.85409395122e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-693.125,1.00000000877,-5.98436175429e-09,-5.98941622234e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-692.8125,1.00000000887,-6.12105391344e-09,-6.12621928647e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-692.5,1.00000000896,-6.25925775802e-09,-6.26453569724e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-692.1875,1.00000000906,-6.3990051016e-09,-6.40439846318e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-691.875,1.00000000917,-6.54032945764e-09,-6.54584140349e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-691.5625,1.00000000927,-6.68326884757e-09,-6.68889918991e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-691.25,1.00000000938,-6.8278581959e-09,-6.83360650282e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-690.9375,1.00000000949,-6.97412993329e-09,-6.97999795138e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-690.625,1.0000000096,-7.12211684562e-09,-7.12810865694e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-690.3125,1.00000000971,-7.27185714923e-09,-7.27797484188e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-690.0,1.00000000983,-7.42339289616e-09,-7.4296332803e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-689.6875,1.00000000995,-7.57675467028e-09,-7.58312002753e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-689.375,1.00000001007,-7.73197736691e-09,-7.73847173879e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-689.0625,1.00000001019,-7.889101087e-09,-7.89572616472e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-688.75,1.00000001032,-8.04816476657e-09,-8.05492158336e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-688.4375,1.00000001044,-8.2092058792e-09,-8.21609661491e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-688.125,1.00000001058,-8.37226290938e-09,-8.37929050982e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-687.8125,1.00000001071,-8.53737756023e-09,-8.54454333588e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-687.5,1.00000001084,-8.70458814896e-09,-8.71189561693e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-687.1875,1.00000001098,-8.87393754981e-09,-8.88138883669e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-686.875,1.00000001112,-9.04546939555e-09,-9.05306509589e-09,0.025
0.3125,0.003125,255.5,1346.32391459,-686.5625,1.00000001127,-9.21922638073e-09,-9.22696669681e-09,0.025
