dx,dt,time,Eval,cell midpoint,height(m),G,u(m/s),diffuse
0.3125,0.003125,291.5,1345.93516472,-700.0,1.00000003665,-5.87608678115e-08,-1.58346422779e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-699.6875,1.0000000489,-4.04980805857e-08,-2.17073298902e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-699.375,1.00000004499,-2.15658875748e-08,-2.21291916885e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-699.0625,1.00000004359,-2.06282098162e-08,-2.23334213662e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-698.75,1.0000000441,-2.24528773946e-08,-2.29612579404e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-698.4375,1.00000004479,-2.40388007432e-08,-2.37423361884e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-698.125,1.00000004517,-2.45567215033e-08,-2.44579123139e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-697.8125,1.00000004549,-2.50594164229e-08,-2.51454713881e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-697.5,1.00000004588,-2.58033588734e-08,-2.58536659992e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-697.1875,1.00000004631,-2.65668435648e-08,-2.65762342214e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-696.875,1.00000004673,-2.72864656405e-08,-2.73025323371e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-696.5625,1.00000004716,-2.80078609828e-08,-2.80336570132e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-696.25,1.0000000476,-2.87466903786e-08,-2.87721346943e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-695.9375,1.00000004806,-2.94939694824e-08,-2.95180340932e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-695.625,1.00000004853,-3.02462054521e-08,-3.02710270721e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-695.3125,1.00000004901,-3.10054139014e-08,-3.10313013434e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-695.0,1.0000000495,-3.17726414552e-08,-3.17991514816e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-694.6875,1.00000005,-3.25477104643e-08,-3.25747666063e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-694.375,1.00000005052,-3.33306063582e-08,-3.33583108568e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-694.0625,1.00000005104,-3.41215887964e-08,-3.41499729342e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-693.75,1.00000005158,-3.49209013299e-08,-3.49499509409e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-693.4375,1.00000005214,-3.57287275458e-08,-3.57584400494e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-693.125,1.0000000527,-3.65452470166e-08,-3.65756348062e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-692.8125,1.00000005328,-3.73706618934e-08,-3.74017329966e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-692.5,1.00000005387,-3.82051739932e-08,-3.82369347939e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-692.1875,1.00000005447,-3.90489822344e-08,-3.90814423361e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-691.875,1.00000005509,-3.9902295901e-08,-3.99354604294e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-691.5625,1.00000005572,-4.07653198081e-08,-4.07991955006e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-691.25,1.00000005637,-4.16382599269e-08,-4.16728559706e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-690.9375,1.00000005702,-4.25213296681e-08,-4.25566528604e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-690.625,1.0000000577,-4.34147385748e-08,-4.34507992972e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-690.3125,1.00000005838,-4.43187025261e-08,-4.43555113837e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-690.0,1.00000005908,-4.52334432557e-08,-4.52710082736e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-689.6875,1.00000005979,-4.61591803359e-08,-4.61975115621e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-689.375,1.00000006052,-4.70961380316e-08,-4.71352457546e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-689.0625,1.00000006127,-4.80445459407e-08,-4.8084438325e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-688.75,1.00000006202,-4.90046322715e-08,-4.90453192152e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-688.4375,1.0000000628,-4.99766299065e-08,-5.00181212344e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-688.125,1.00000006359,-5.09607748803e-08,-5.10030800629e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-687.8125,1.00000006439,-5.19573060005e-08,-5.20004341557e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-687.5,1.00000006521,-5.29664650948e-08,-5.30104246367e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-687.1875,1.00000006604,-5.39884934844e-08,-5.40332951543e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-686.875,1.0000000669,-5.50236389707e-08,-5.50692924399e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-686.5625,1.00000006776,-5.60721508577e-08,-5.61186660862e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-686.25,1.00000006865,-5.71342791607e-08,-5.71816686499e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-685.9375,1.00000006955,-5.82102802366e-08,-5.82585562938e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-685.625,1.00000007047,-5.93004165298e-08,-5.93495887374e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-685.3125,1.0000000714,-6.04049482474e-08,-6.045502861e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-685.0,1.00000007235,-6.1524141082e-08,-6.1575142018e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-684.6875,1.00000007332,-6.26582691802e-08,-6.27101986169e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-684.375,1.00000007431,-6.38075979572e-08,-6.38604706032e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-684.0625,1.00000007531,-6.49724059617e-08,-6.50262343131e-08,0.025
0.3125,0.003125,291.5,1345.93516472,-683.75,1.00000007634,-6.61529740685e-08,-6.62077697695e-08,0.025
