dx,dt,time,Eval,cell midpoint,height(m),G,u(m/s),diffuse
0.3125,0.003125,163.0,996.727962323,-700.0,1.00000000013,-2.23429516938e-11,4.55778343488e-11,0.025
0.3125,0.003125,163.0,996.727962323,-699.6875,1.00000000015,6.53683190647e-12,3.6274481047e-11,0.025
0.3125,0.003125,163.0,996.727962323,-699.375,1.00000000014,3.64948245826e-11,3.55970146221e-11,0.025
0.3125,0.003125,163.0,996.727962323,-699.0625,1.00000000014,3.79887869055e-11,3.52617719449e-11,0.025
0.3125,0.003125,163.0,996.727962323,-698.75,1.00000000014,3.50888392857e-11,3.42481379823e-11,0.025
0.3125,0.003125,163.0,996.727962323,-698.4375,1.00000000014,3.25295812257e-11,3.2981964224e-11,0.025
0.3125,0.003125,163.0,996.727962323,-698.125,1.00000000014,3.16721338952e-11,3.18142151153e-11,0.025
0.3125,0.003125,163.0,996.727962323,-697.8125,1.00000000014,3.0837128929e-11,3.06865418999e-11,0.025
0.3125,0.003125,163.0,996.727962323,-697.5,1.00000000014,2.96165513164e-11,2.95220022383e-11,0.025
0.3125,0.003125,163.0,996.727962323,-697.1875,1.00000000014,2.83465067533e-11,2.83306639434e-11,0.025
0.3125,0.003125,163.0,996.727962323,-696.875,1.00000000014,2.71334322515e-11,2.7133410317e-11,0.025
0.3125,0.003125,163.0,996.727962323,-696.5625,1.00000000015,2.59301237804e-11,2.59358380463e-11,0.025
0.3125,0.003125,163.0,996.727962323,-696.25,1.00000000015,2.47326029635e-11,2.47397971883e-11,0.025
0.3125,0.003125,163.0,996.727962323,-695.9375,1.00000000015,2.3556036018e-11,2.35454255216e-11,0.025
0.3125,0.003125,163.0,996.727962323,-695.625,1.00000000015,2.23915730631e-11,2.23475989114e-11,0.025
0.3125,0.003125,163.0,996.727962323,-695.3125,1.00000000015,2.12074070728e-11,2.11370364148e-11,0.025
0.3125,0.003125,163.0,996.727962323,-695.0,1.00000000015,1.99867633018e-11,1.9906223066e-11,0.025
0.3125,0.003125,163.0,996.727962323,-694.6875,1.00000000015,1.87344062877e-11,1.86520305083e-11,0.025
0.3125,0.003125,163.0,996.727962323,-694.375,1.00000000015,1.74487293758e-11,1.7373929132e-11,0.025
0.3125,0.003125,163.0,996.727962323,-694.0625,1.00000000015,1.61342104194e-11,1.60740858456e-11,0.025
0.3125,0.003125,163.0,996.727962323,-693.75,1.00000000015,1.47979328265e-11,1.47567342322e-11,0.025
0.3125,0.003125,163.0,996.727962323,-693.4375,1.00000000015,1.34465069266e-11,1.34273833975e-11,0.025
0.3125,0.003125,163.0,996.727962323,-693.125,1.00000000015,1.20908839288e-11,1.20923905926e-11,0.025
0.3125,0.003125,163.0,996.727962323,-692.8125,1.00000000016,1.07432348997e-11,1.07576405754e-11,0.025
0.3125,0.003125,163.0,996.727962323,-692.5,1.00000000016,9.41927110647e-12,9.42663468423e-12,0.025
0.3125,0.003125,163.0,996.727962323,-692.1875,1.00000000016,8.12416088404e-12,8.09715881072e-12,0.025
0.3125,0.003125,163.0,996.727962323,-691.875,1.00000000016,6.83471171967e-12,6.75947147484e-12,0.025
0.3125,0.003125,163.0,996.727962323,-691.5625,1.00000000016,5.50063936897e-12,5.40022280769e-12,0.025
